params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.407008975875681,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.7017540952102217,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.8365685391237818,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.162912055459663,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",1.0545118276688292,100,0.00021892089796200754,0.0,0.0,0.012048192771084338,0.0013748244417085128
"{""discount_factor"": 0.5}",1.0148116934979132,100,0.0032427261565258093,0.0,0.0,0.03571428571428571,0.007245203012078732
"{""discount_factor"": 0.6}",0.9730787200693953,100,0.008380496342666353,0.006515280135823429,0.0,0.045454545454545456,0.009635315504624955
"{""discount_factor"": 0.7}",1.1675158281131264,100,0.012092343147802873,0.01324561403508772,0.0,0.047619047619047616,0.011521859307192083
"{""discount_factor"": 0.8}",0.9900364430073338,100,0.01024878868812881,0.010152545866831581,0.0,0.041666666666666664,0.0094268790559197
"{""discount_factor"": 0.9}",1.0761389100949081,100,0.013916433038350766,0.013888888888888888,0.0,0.045454545454545456,0.010866764017063364
