params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.886376450800178,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.5987873487932518,100,-3.302884615384615,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.2}",1.5321200944309368,100,-2.9,6.769230769230769,-13.375,6.769230769230769,10.064054466649726
"{""discount_factor"": 0.3}",1.5218278980301037,100,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.4}",1.5192231133647311,100,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.5}",1.5593442727001872,100,-3.5043269230769227,-13.375,-13.375,6.769230769230769,10.070100760055857
"{""discount_factor"": 0.6}",1.6080826958304755,100,-1.8927884615384616,6.769230769230769,-13.375,6.769230769230769,9.972920192095904
"{""discount_factor"": 0.7}",1.6296713429609682,100,-3.302884615384615,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.8}",1.6422442686450722,100,-2.9,6.769230769230769,-13.375,6.769230769230769,10.064054466649727
"{""discount_factor"": 0.9}",2.023863029300742,100,-3.7057692307692305,-13.375,-13.375,6.769230769230769,10.064054466649726
