step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.015873015873015872,0.001763668430335097,0.0,0.004988407627418324,0.015873015873015872,0.0
9,0.0,0.0015873015873015873,0.0,0.0047619047619047615,0.015873015873015872,0.0
10,0.0,0.001443001443001443,0.0,0.0045631712267941976,0.015873015873015872,0.0
11,0.0,0.0013227513227513227,0.0,0.0043870698285124335,0.015873015873015872,0.0
12,0.0,0.001221001221001221,0.0,0.0042296723017555,0.015873015873015872,0.0
13,0.0,0.0011337868480725624,0.0,0.004087926616172324,0.015873015873015872,0.0
14,0.0,0.001058201058201058,0.0,0.003959425806109991,0.015873015873015872,0.0
15,0.008,0.001492063492063492,0.0,0.004185783808585276,0.015873015873015872,0.0
16,0.018867924528301886,0.0025141729647833976,0.0,0.005762419283927737,0.018867924528301886,0.0
17,0.0,0.0023744966889620977,0.0,0.005629599292256039,0.018867924528301886,0.0
18,0.025,0.0035653126527009347,0.0,0.0074531292509361175,0.025,0.0
19,0.03571428571428571,0.005172761305780173,0.0,0.010092849504626555,0.03571428571428571,0.0
20,0.0,0.004926439338838261,0.0,0.009911022044380272,0.03571428571428571,0.0
21,0.022727272727272728,0.005735568129221645,0.0,0.010368795011483054,0.03571428571428571,0.0
22,0.0,0.005486195601864182,0.0,0.010208113713308297,0.03571428571428571,0.0
23,0.0,0.005257604118453174,0.0,0.010053135317359038,0.03571428571428571,0.0
24,0.0,0.005047299953715048,0.0,0.009903755687703285,0.03571428571428571,0.0
25,0.0,0.004853173032418315,0.0,0.009759817223353139,0.03571428571428571,0.0
26,0.0,0.004673425883069488,0.0,0.00962112987614682,0.03571428571428571,0.0
27,0.0,0.004506517815817007,0.0,0.009487485478122608,0.03571428571428571,0.0
28,0.0,0.004351120649754351,0.0,0.009358667496993758,0.03571428571428571,0.0
29,0.0,0.004206083294762539,0.0,0.009234457641785218,0.03571428571428571,0.0
30,0.0,0.004070403188479877,0.0,0.009114640284501837,0.03571428571428571,0.0
31,0.0,0.003943203088839881,0.0,0.008999005360693712,0.03571428571428571,0.0
32,0.0,0.0038237120861477633,0.0,0.00888735020796301,0.03571428571428571,0.0
33,0.0,0.003711249965966947,0.0,0.008779480662779294,0.03571428571428571,0.0
34,0.0,0.0036052142526536053,0.0,0.00867521164064336,0.03571428571428571,0.0
35,0.0,0.0035050694123021165,0.0,0.008574367358506148,0.03571428571428571,0.0
36,0.0,0.0034103378065642215,0.0,0.00847678131209101,0.03571428571428571,0.0
37,0.015625,0.003731776285338847,0.0,0.008589983613652522,0.03571428571428571,0.0
38,0.0,0.0036360897139199023,0.0,0.00849963223293821,0.03571428571428571,0.0
39,0.0,0.0035451874710719046,0.0,0.008411891575933394,0.03571428571428571,0.0
40,0.0,0.00345871948397259,0.0,0.008326652189953715,0.03571428571428571,0.0
41,0.017543859649122806,0.0037940799640952144,0.0,0.008502557288271808,0.03571428571428571,0.0
42,0.0,0.003705845546325558,0.0,0.008422542361620839,0.03571428571428571,0.0
43,0.009523809523809525,0.0038380720003592843,0.0,0.008371306334639688,0.03571428571428571,0.0
44,0.0,0.0037527815114624112,0.0,0.008297080228839897,0.03571428571428571,0.0
45,0.0,0.0036711993046914895,0.0,0.008224627021339507,0.03571428571428571,0.0
46,0.0,0.003593088681187415,0.0,0.008153888862187925,0.03571428571428571,0.0
47,0.0,0.0035182326669960114,0.0,0.008084809302647523,0.03571428571428571,0.0
48,0.0,0.003446432000322623,0.0,0.008017333441040591,0.03571428571428571,0.0
49,0.022222222222222223,0.0038219478047606154,0.0,0.008360722256150128,0.03571428571428571,0.0
50,0.0,0.0037470076517260933,0.0,0.008295291246282425,0.03571428571428571,0.0
51,0.0,0.0036749498122698224,0.0,0.008231242972030671,0.03571428571428571,0.0
52,0.0,0.003605611136566618,0.0,0.008168537437423079,0.03571428571428571,0.0
53,0.0,0.0035388405599635327,0.0,0.008107135503463973,0.03571428571428571,0.0
54,0.018867924528301886,0.0038175511775696844,0.0,0.008290074377022004,0.03571428571428571,0.0
55,0.0,0.0037493806208273683,0.0,0.008231263113792372,0.03571428571428571,0.0
56,0.0,0.003683602013444432,0.0,0.008173575312435209,0.03571428571428571,0.0
57,0.0,0.0036200916339022868,0.0,0.008116981964131789,0.03571428571428571,0.0
58,0.0,0.003558734148581909,0.0,0.008061454555705852,0.03571428571428571,0.0
59,0.0,0.00349942191277221,0.0,0.008006965130362238,0.03571428571428571,0.0
60,0.0,0.0034420543404316824,0.0,0.00795348633352743,0.03571428571428571,0.0
61,0.0,0.0033865373349408487,0.0,0.007900991446409699,0.03571428571428571,0.0
