step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.0
2,0.0,0.006802721088435374,0.0,0.009620500424306767,0.02040816326530612,0.0
3,0.0,0.00510204081632653,0.0,0.008836993916167742,0.02040816326530612,0.0
4,0.0,0.004081632653061224,0.0,0.008163265306122448,0.02040816326530612,0.0
5,0.0,0.003401360544217687,0.0,0.007605673392856425,0.02040816326530612,0.0
6,0.0,0.0029154518950437317,0.0,0.007141369512487398,0.02040816326530612,0.0
7,0.0,0.002551020408163265,0.0,0.006749365589450486,0.02040816326530612,0.0
8,0.0,0.0022675736961451243,0.0,0.006413666949537845,0.02040816326530612,0.0
9,0.0,0.002040816326530612,0.0,0.0061224489795918356,0.02040816326530612,0.0
10,0.0,0.0018552875695732837,0.0,0.005866934434449683,0.02040816326530612,0.0
11,0.0,0.0017006802721088435,0.0,0.005640518350944558,0.02040816326530612,0.0
12,0.0,0.0015698587127158554,0.0,0.005438150102257072,0.02040816326530612,0.0
13,0.0,0.0014577259475218659,0.0,0.005255905649364416,0.02040816326530612,0.0
14,0.0,0.0013605442176870747,0.0,0.005090690322141417,0.02040816326530612,0.0
15,0.0,0.0012755102040816326,0.0,0.004940029778325786,0.02040816326530612,0.0
16,0.0,0.0012004801920768306,0.0,0.004801920768307323,0.02040816326530612,0.0
17,0.0,0.0011337868480725622,0.0,0.004674722931539298,0.02040816326530612,0.0
18,0.0,0.0010741138560687433,0.0,0.0045570791483558375,0.02040816326530612,0.0
19,0.0,0.001020408163265306,0.0,0.004447856064837423,0.02040816326530612,0.0
20,0.0,0.0009718172983479105,0.0,0.004346099081632244,0.02040816326530612,0.0
21,0.0,0.0009276437847866418,0.0,0.004250997861740112,0.02040816326530612,0.0
22,0.0,0.0008873114463176574,0.0,0.00416185959168006,0.02040816326530612,0.0
23,0.0,0.0008503401360544217,0.0,0.004078088030027823,0.02040816326530612,0.0
24,0.0,0.0008163265306122448,0.0,0.003999166926992944,0.02040816326530612,0.0
25,0.0,0.0007849293563579277,0.0,0.003924646781789639,0.02040816326530612,0.0
26,0.0,0.0007558578987150415,0.0,0.0038541341750512356,0.02040816326530612,0.0
27,0.0,0.0007288629737609329,0.0,0.0037872831069290314,0.02040816326530612,0.0
28,0.0,0.0007037297677691766,0.0,0.0037237879114209575,0.02040816326530612,0.0
29,0.0,0.0006802721088435374,0.0,0.003663377419819389,0.02040816326530612,0.0
30,0.0,0.0006583278472679394,0.0,0.003605810121824662,0.02040816326530612,0.0
31,0.0,0.0006377551020408163,0.0,0.0035508701293558813,0.02040816326530612,0.0
32,0.0,0.0006184291898577612,0.0,0.0034983637906570064,0.02040816326530612,0.0
33,0.0,0.0006002400960384153,0.0,0.00344811683465668,0.02040816326530612,0.0
34,0.0,0.0005830903790087463,0.0,0.003399971950347113,0.02040816326530612,0.0
35,0.0,0.0005668934240362811,0.0,0.0033537867251131606,0.02040816326530612,0.0
