episode,length,time,reward,delta
0,500.0,0.03671840151469041,-1788.0,-0.9181357715695588
1,500.0,0.02915757942264463,-996.0,-0.04058392130518795
2,179.0,0.011212527790803506,-79.0,99.99978284093513
3,355.0,0.02091444267944098,-255.0,89.99980455684161
4,69.0,0.003934857463264052,31.0,80.99982410115744
5,294.0,0.015899165530981918,-293.0,72.8998416910417
6,343.0,0.02032980304556986,-342.0,65.60985752193753
7,188.0,0.011676219659420894,-187.0,59.048871769743776
8,379.0,0.02341203165792649,-675.0,53.1439845927694
9,132.0,0.007055521371285067,-32.0,47.829586133492455
10,390.0,0.022298465938092704,-488.0,43.04662752014321
11,213.0,0.012645917483951052,-311.0,38.74196476812889
12,387.0,0.022313981103252445,-584.0,34.867768291316
13,65.0,0.004061094489088646,-64.0,31.380991462184397
14,166.0,0.008892657976957707,-66.0,28.24289231596596
15,347.0,0.02153081787832889,-346.0,25.418603084369366
16,156.0,0.00833975390833075,-56.0,22.876742775932428
17,104.0,0.005904930825181509,-4.0,20.589068498339188
18,141.0,0.007976557996016709,-41.0,18.53016164850527
19,112.0,0.0064747605285901955,-12.0,16.67714548365474
20,220.0,0.012169178771728184,-219.0,15.009430935289274
21,91.0,0.006284347137579971,-90.0,13.508487841760342
22,40.0,0.002547308030671047,60.0,12.157639057584305
23,173.0,0.009443446341492745,-73.0,10.941875151825869
24,123.0,0.008654993855770954,-23.0,9.847687636643286
25,148.0,0.014348354246521922,-147.0,8.862918872978952
26,117.0,0.0059564129642240005,-17.0,7.976626985681051
27,220.0,0.012894512744423992,-417.0,7.178964287112947
28,139.0,0.0074458688229697145,-39.0,6.461067858401648
29,119.0,0.007663786370130765,-19.0,5.814961072561488
30,69.0,0.003564256585605108,31.0,5.233464965305345
31,56.0,0.0035825926897814497,44.0,4.710118468774809
32,180.0,0.011066191573490869,-80.0,4.239106621897335
33,85.0,0.0045614585665134655,-183.0,3.8151959597075944
34,246.0,0.015031726749839436,-245.0,3.4336763637368364
35,85.0,0.004819574496650603,15.0,3.0903087273631513
36,100.0,0.005825591912298478,0.0,2.781277854626836
37,109.0,0.005718748843037247,-9.0,2.5031500691641497
38,82.0,0.0046721804271783185,18.0,2.2528350622477404
39,127.0,0.00748641982272602,-126.0,2.0275515560229707
40,60.0,0.0031220743776430027,40.0,1.8247964004206807
41,122.0,0.00801957731755465,-121.0,1.6423167603786197
42,100.0,0.005630594495414698,-99.0,1.478085084340762
43,120.0,0.0070322486233180825,-119.0,1.3302765759066801
44,84.0,0.00548884230420299,16.0,1.1972489183160064
45,90.0,0.00542748687803396,10.0,1.0775240264844115
46,92.0,0.008247720769304578,8.0,0.9697716238359675
47,40.0,0.0033156613251321687,60.0,0.8727944614523722
