episode,length,time,reward,delta
0,399.0,0.0235319215707932,-1190.0,100.0
1,304.0,0.017963740353479807,-600.0,50.0
2,85.0,0.00475786645347398,15.0,25.0
3,56.0,0.00398528175037427,-55.0,12.5
4,50.0,0.003125953168819251,50.0,6.25
5,90.0,0.004955332191912021,-188.0,3.125
6,30.0,0.0017084312580664118,70.0,1.5625
7,44.0,0.0029207298475739663,-43.0,0.78125
8,34.0,0.0024073189265436667,66.0,0.390625
9,32.0,0.0017267673624701274,68.0,0.1953125
10,16.0,0.0012620176416930917,84.0,0.09765625
11,43.0,0.0023036494135340035,57.0,0.048828125
12,32.0,0.0016573017364862608,68.0,0.0244140625
13,56.0,0.0030483773430205474,-55.0,0.01220703125
14,31.0,0.0016266240231743723,69.0,0.006103515625
15,16.0,0.001503207936821127,84.0,0.0030517578125
16,22.0,0.0016340289889740234,78.0,0.00152587890625
17,21.0,0.001117797128699749,-20.0,0.000762939453125
18,18.0,0.0009880339289338735,82.0,0.0003814697265625
19,17.0,0.001597004162704252,83.0,0.00019073486328125
20,27.0,0.001470061901727604,73.0,9.5367431640625e-05
21,14.0,0.0007627114159731718,86.0,4.76837158203125e-05
22,13.0,0.0007041769295028644,87.0,2.384185791015625e-05
23,15.0,0.0010687833114388923,-14.0,1.1920928955078125e-05
24,12.0,0.0007870420158724301,88.0,5.9604644775390625e-06
25,26.0,0.0014668883454760362,-25.0,2.9802322387695312e-06
26,16.0,0.0009421936679245846,84.0,1.4901161193847656e-06
27,12.0,0.0017436929970244819,88.0,7.450580596923828e-07
28,15.0,0.0008297087206301512,-14.0,3.725290298461914e-07
29,12.0,0.0007990310077730101,88.0,1.862645149230957e-07
30,12.0,0.0006868986770314223,88.0,9.313225746154785e-08
31,14.0,0.0007909208070486784,86.0,4.6566128730773926e-08
32,23.0,0.0015352961195276293,-22.0,2.3283064365386963e-08
33,18.0,0.000997201980680984,82.0,1.1641532182693481e-08
34,12.0,0.0006911300856700109,88.0,5.820766091346741e-09
35,25.0,0.0012941058239448466,-24.0,2.9103830456733704e-09
36,16.0,0.0008808382422103023,84.0,1.4551915228366852e-09
37,12.0,0.0006523421729980328,88.0,7.275957614183426e-10
38,12.0,0.0006519895555356925,88.0,3.637978807091713e-10
39,13.0,0.0006921879380570317,87.0,1.8189894035458565e-10
40,17.0,0.0012108881196581933,-16.0,9.094947017729282e-11
41,14.0,0.0012334556327004975,86.0,4.547473508864641e-11
42,14.0,0.0013625135979964398,86.0,2.2737367544323206e-11
43,12.0,0.0006678573381577735,88.0,1.1368683772161603e-11
44,14.0,0.0008847170333865506,86.0,5.6843418860808015e-12
45,12.0,0.0009735766157064063,88.0,2.8421709430404007e-12
46,12.0,0.0006992402854848478,88.0,1.4210854715202004e-12
47,12.0,0.0009975545981433243,88.0,7.105427357601002e-13
48,18.0,0.0021678917182725854,-17.0,3.552713678800501e-13
49,16.0,0.0019425692053118837,84.0,1.7053025658242404e-13
50,14.0,0.000802909798494511,86.0,8.526512829121202e-14
51,12.0,0.0007348546423600055,88.0,4.263256414560601e-14
52,12.0,0.0007136975987123151,88.0,2.842170943040401e-14
53,19.0,0.002617478891806968,-18.0,1.4210854715202004e-14
54,14.0,0.0008272403988485166,86.0,0.0
55,14.0,0.001052915528362064,86.0,0.0
56,12.0,0.0011491800764815707,88.0,0.0
57,14.0,0.0009933231895047356,86.0,0.0
58,14.0,0.0008258299289991555,86.0,0.0
59,18.0,0.001317378571457084,-17.0,0.0
60,14.0,0.0011615216853897437,86.0,0.0
61,12.0,0.001572320944887906,88.0,0.0
62,18.0,0.0015419958499478525,-17.0,0.0
63,19.0,0.0025681124566290237,81.0,0.0
64,12.0,0.0010599678766993748,88.0,0.0
65,14.0,0.0007672954420741007,86.0,0.0
