steps,time,reward,delta,converged
1,0.0014340949281859139,0.0,0,False
2,0.0010716042504554935,0.0,0,False
3,0.0008332348942303724,0.0,0,False
4,0.003928157732843829,0.0,0,False
5,0.001048684119950849,0.0,0,False
6,0.0009048162246472202,0.0,0,False
7,0.0009615876244879473,0.0,0,False
8,0.0013544033978405423,0.0,0,False
9,0.0012510865022932194,0.0,0,False
10,0.005830528555861747,0.0,0,False
11,0.001549400814838009,0.0,0,False
12,0.0015504586669976561,0.0,0,False
13,0.0014520784150136024,0.0,0,False
14,0.0008949429377480556,0.0,0,False
15,0.0006050914424804432,0.0,0,False
16,0.0030307464733141387,0.0,0,False
17,0.0013737973542902182,0.0,0,False
18,0.002669313647970739,0.0,0,False
19,0.002072685022767473,0.0,0,False
20,0.0008762542159956865,0.0,0,False
21,0.0009993176853413388,0.0,0,False
22,0.0013769709107691597,0.0,0,False
23,0.002710217265189385,0.0,0,False
24,0.0015525743714306373,0.0,0,False
25,0.00535026366958391,0.0,0,False
26,0.0011054555200189498,0.0,0,False
27,0.001629444962532034,0.0,0,False
28,0.0007475488683894582,0.0,0,False
29,0.0040515738195381346,0.0,0,False
30,0.002899220186691309,0.0,0,False
31,0.004676411835930594,0.0,0,False
32,0.0033004987773210814,0.0,0,False
33,0.0016470758321247558,0.0,0,False
34,0.000373069199326892,0.0,0,False
35,0.0028191760388835974,0.0,0,False
36,0.0006227223120731651,0.0,0,False
37,0.0009531248070970832,0.0,0,False
38,0.0009393727289079834,0.0,0,False
39,0.002414018657077577,0.0,0,False
40,0.006287168076937633,0.0,0,False
41,0.0015758471191702483,0.0,0,False
42,0.0006787884772165853,0.0,0,False
43,0.0026760133782772755,0.0,0,False
44,0.0008448712682138648,0.0,0,False
45,0.0028664267692875,0.0,0,False
46,0.00109910840694738,0.0,0,False
47,0.0021696548052432263,0.0,0,False
48,0.0018180952665716177,0.0,0,False
49,0.00046933374710533826,0.0,0,False
50,0.002557533935032552,0.0,0,False
51,0.0014013015107821047,0.0,0,False
52,0.0009340834681097476,0.0,0,False
53,0.0012292242241755957,0.0,0,False
54,0.0006047388251317898,0.0,0,False
55,0.0012239349632636731,0.0,0,False
56,0.001323373067407374,0.0,0,False
57,0.0005627773556398097,0.0,0,False
58,0.001135427998178784,0.0,0,False
59,0.0028389226127956135,0.0,0,False
60,0.0024524539525145883,0.0,0,False
61,0.0016569491191376073,0.0,0,False
62,0.0019118914925684294,0.0,0,False
63,0.0006911300858973846,0.0,0,False
64,0.0010726621026151406,0.0,0,False
65,0.0007919786596630729,0.0,0,False
66,0.002635462378407283,0.0,0,False
67,0.0003695430254992971,0.0,0,False
68,0.0007267444423177949,0.0,0,False
69,0.002553655143742617,0.0,0,False
70,0.0006946562597249795,0.0,0,False
71,0.0015920675191409828,0.0,0,False
72,0.001026469224370885,0.0,0,False
73,0.0036104494638493634,0.0,0,False
74,0.0009802763463540032,0.0,0,False
75,0.005571707391027303,0.0,0,False
76,0.0005109425992486649,0.0,0,False
77,0.0008416977116212365,0.0,0,False
78,0.0005627773555261228,0.0,0,False
79,0.0012644859632473526,0.0,0,False
80,0.0027969611433036334,0.0,0,False
81,0.0013526403108699014,0.0,0,False
82,0.0017211254842095514,0.0,0,False
83,0.0023318588049505706,0.0,0,False
84,0.0027666360477951457,0.0,0,False
85,0.0023223381354000594,0.0,0,False
86,0.0013469984326093254,0.0,0,False
87,0.0014711197541146248,0.0,0,False
88,0.0023417320918497353,0.0,0,False
89,0.00247008482210731,0.0,0,False
90,0.0007665902074904807,0.0,0,False
91,0.005055828148329056,0.0,0,False
92,0.0005747663468582687,0.0,0,False
93,0.001376265675958166,0.0,0,False
94,0.0021548448747807925,0.0,0,False
95,0.005440533721753127,0.0,0,False
96,0.004545590784005071,0.0,0,False
97,0.0008452238855625183,0.0,0,False
98,0.001248970797973925,0.0,0,False
99,0.0011128604851364798,0.0,0,False
100,0.000691482703246038,0.0,0,False
101,0.001582194232241818,0.0,0,False
102,0.0007383808161876004,0.0,0,False
103,0.001746866553730797,0.0,0,False
104,0.0022994180050091018,0.0,0,False
105,0.0025748121871629337,0.0,0,False
106,0.0006498738512163982,0.0,0,False
107,0.000311713773385236,0.0,0,False
108,0.0021837595007809796,0.0,0,False
109,0.0011082764591492378,0.0,0,False
110,0.0009947336593540967,0.0,0,False
111,0.0006699730424770678,0.0,0,False
112,0.0006227223120731651,0.0,0,False
113,0.0015733787975023006,0.0,0,False
