episode,length,time,reward,delta
0,500.0,0.030054990681946947,-1986.0,-0.13789170007146723
1,402.0,0.023712814292139228,-1292.0,100.00019677823093
2,37.0,0.0028893468997921445,-36.0,50.000098389115465
3,166.0,0.009323556428626034,-561.0,25.000049194557732
4,45.0,0.0034926752555293206,55.0,12.500024597278866
5,93.0,0.005005051244097558,-290.0,6.250012298639433
6,65.0,0.0040568630802226835,-64.0,3.1250061493197165
7,112.0,0.006016005303081329,-210.0,1.5625030746598583
8,50.0,0.003468344655175315,50.0,0.7812515373299362
9,29.0,0.0015331804147535877,71.0,0.3906257686649752
10,32.0,0.0018537096234467754,68.0,0.19531288433249472
11,48.0,0.0027951980564466794,52.0,0.09765644216624025
12,26.0,0.0013663923891726881,74.0,0.04882822108312723
13,39.0,0.0020561120054480853,61.0,0.02441411054157072
14,25.0,0.0017941172841346997,-24.0,0.012207055270792466
15,18.0,0.0014813456587035034,82.0,0.0061035276354033385
16,34.0,0.0019281118925391638,-33.0,0.0030517638177087747
17,42.0,0.0022574565355171217,58.0,0.001525881908847282
18,27.0,0.0018177426491092774,-26.0,0.0007629409544307464
19,30.0,0.001703847231965483,-29.0,0.0003814704772224786
20,80.0,0.004090009115316207,-475.0,0.00019073523860413388
21,38.0,0.003158041351071006,-37.0,9.536761929496151e-05
22,43.0,0.002579748830612516,-141.0,4.7683809654586184e-05
23,65.0,0.003575187724436546,-460.0,2.3841904820187665e-05
24,39.0,0.0022281892920545943,-137.0,1.192095241719926e-05
25,70.0,0.0036361905335979827,-465.0,5.9604762014942025e-06
26,14.0,0.0008067885896707594,86.0,2.9802381078525286e-06
27,92.0,0.006479344554918498,-1081.0,1.4901190610316917e-06
28,22.0,0.0012101828851882601,78.0,7.450595234104185e-07
29,182.0,0.010811601817295013,-1270.0,3.725297545997819e-07
30,54.0,0.0038022733242542017,-251.0,1.8626487019446358e-07
31,30.0,0.002404145370292099,-29.0,9.313244220265915e-08
32,33.0,0.00214955561386887,-131.0,4.656622820675693e-08
33,39.0,0.0029531706472880614,-38.0,2.328310699795111e-08
34,27.0,0.0016692907279320934,-323.0,1.1641546393548197e-08
35,17.0,0.0018022274839495367,83.0,5.820780302201456e-09
36,91.0,0.005205337922234321,-585.0,2.9103972565280856e-09
37,132.0,0.008064359726176917,-1319.0,1.4552057336914004e-09
38,66.0,0.004454615496797487,-560.0,7.276099722730578e-10
39,18.0,0.0010102488245138375,82.0,3.638120915638865e-10
40,23.0,0.001228166371674888,77.0,1.8191315120930085e-10
41,21.0,0.0011668109459606057,-20.0,9.096368103200803e-11
42,13.0,0.0009880339289338735,87.0,4.5488945943361614e-11
43,99.0,0.00498107326166064,-890.0,2.2751578399038408e-11
44,51.0,0.00433507820162049,-248.0,1.1382894626876805e-11
45,28.0,0.0014711197541146248,-225.0,5.6985527407960035e-12
46,41.0,0.0025049939440577873,-238.0,2.8563817977556027e-12
47,34.0,0.002729611221639061,-231.0,1.4352963262354024e-12
48,52.0,0.005445117747512995,-249.0,7.247535904753022e-13
49,30.0,0.005055475530753029,-29.0,3.552713678800501e-13
50,29.0,0.0020822056922042975,-28.0,1.8474111129762605e-13
51,22.0,0.0012419184499776748,-120.0,9.947598300641403e-14
52,47.0,0.002461974622292473,-343.0,4.263256414560601e-14
53,27.0,0.0014214007019290875,-125.0,1.4210854715202004e-14
54,22.0,0.001234160867625178,-21.0,1.4210854715202004e-14
55,133.0,0.007728667969786329,-1023.0,1.4210854715202004e-14
56,20.0,0.00123063469391127,80.0,1.4210854715202004e-14
57,18.0,0.0012094776502635796,82.0,1.4210854715202004e-14
58,42.0,0.002127693335751246,-140.0,1.4210854715202004e-14
59,64.0,0.003499022368032456,-162.0,1.4210854715202004e-14
60,41.0,0.0032409064383500663,-139.0,1.4210854715202004e-14
61,129.0,0.007158838267059764,-1514.0,1.4210854715202004e-14
62,80.0,0.003995155037046061,-673.0,1.4210854715202004e-14
63,22.0,0.001417169293290499,78.0,1.4210854715202004e-14
64,42.0,0.00405545261082807,58.0,1.4210854715202004e-14
65,22.0,0.001167163563422946,78.0,1.4210854715202004e-14
66,14.0,0.0007613009465785581,86.0,1.4210854715202004e-14
67,53.0,0.003033214795323147,-250.0,1.4210854715202004e-14
68,96.0,0.00633759236370679,-788.0,1.4210854715202004e-14
69,42.0,0.0046460867401947326,-239.0,1.4210854715202004e-14
70,15.0,0.0017186571626552904,-14.0,1.4210854715202004e-14
71,51.0,0.00418239487134997,-248.0,1.4210854715202004e-14
72,13.0,0.0007567169209323765,87.0,1.4210854715202004e-14
73,15.0,0.0008617969028819061,85.0,1.4210854715202004e-14
74,68.0,0.004545238166429044,-661.0,1.4210854715202004e-14
75,20.0,0.0011728054419108958,80.0,1.4210854715202004e-14
76,19.0,0.0010370477461947303,-18.0,1.4210854715202004e-14
77,16.0,0.0008522762336724554,84.0,1.4210854715202004e-14
78,17.0,0.0008952955549830222,83.0,1.4210854715202004e-14
79,13.0,0.0006985350510149146,87.0,1.4210854715202004e-14
80,16.0,0.0011368384680281451,84.0,1.4210854715202004e-14
81,20.0,0.0012539074414235074,80.0,1.4210854715202004e-14
82,34.0,0.0017912963448907249,66.0,1.4210854715202004e-14
83,20.0,0.0011301387371531746,-19.0,1.4210854715202004e-14
84,20.0,0.0010673728415895312,80.0,1.4210854715202004e-14
85,14.0,0.0008621495203442464,86.0,1.4210854715202004e-14
86,17.0,0.0019379851792109548,83.0,1.4210854715202004e-14
87,45.0,0.002749710413354478,-440.0,1.4210854715202004e-14
88,35.0,0.0019002551184712502,-133.0,1.4210854715202004e-14
89,18.0,0.0009711082939247717,82.0,1.4210854715202004e-14
90,31.0,0.0020480018056332483,-129.0,1.4210854715202004e-14
91,65.0,0.003517005855428579,-460.0,1.4210854715202004e-14
92,32.0,0.001756387223394995,68.0,1.4210854715202004e-14
93,24.0,0.002466911265400995,76.0,1.4210854715202004e-14
94,18.0,0.0013473510502990393,82.0,1.4210854715202004e-14
95,12.0,0.0006830198858551739,88.0,1.4210854715202004e-14
96,13.0,0.0007066452508297516,87.0,1.4210854715202004e-14
97,47.0,0.0027384266563785786,-145.0,1.4210854715202004e-14
98,22.0,0.0012930479715578258,-21.0,1.4210854715202004e-14
99,32.0,0.0017853018489404349,-31.0,1.4210854715202004e-14
100,37.0,0.0021241671615825908,-36.0,1.4210854715202004e-14
101,24.0,0.0013787339976261137,-23.0,1.4210854715202004e-14
102,21.0,0.001418932380147453,79.0,1.4210854715202004e-14
103,49.0,0.0033368183685524855,-246.0,1.4210854715202004e-14
104,35.0,0.001861467205799272,-34.0,1.4210854715202004e-14
105,44.0,0.0028304597954047495,-142.0,1.4210854715202004e-14
106,22.0,0.0012951636758771201,78.0,1.4210854715202004e-14
107,106.0,0.007105240423243231,-996.0,1.4210854715202004e-14
108,39.0,0.0020846740144406795,-137.0,1.4210854715202004e-14
109,40.0,0.002308938674559613,-435.0,1.4210854715202004e-14
110,46.0,0.0027366635695216246,-243.0,1.4210854715202004e-14
111,45.0,0.002339616387416754,-242.0,1.4210854715202004e-14
112,75.0,0.0038911329070288048,-866.0,1.4210854715202004e-14
113,12.0,0.0012401553631207207,88.0,1.4210854715202004e-14
114,17.0,0.001302216024214431,83.0,1.4210854715202004e-14
115,37.0,0.0020176767097837,-36.0,1.4210854715202004e-14
116,12.0,0.0006632733120568446,88.0,1.4210854715202004e-14
117,75.0,0.004235640097704163,-470.0,1.4210854715202004e-14
118,31.0,0.0016273292585538002,-129.0,1.4210854715202004e-14
119,43.0,0.0022204317092473502,-141.0,1.4210854715202004e-14
120,17.0,0.0009407831985299708,83.0,1.4210854715202004e-14
121,25.0,0.003012762986600137,-321.0,1.4210854715202004e-14
122,27.0,0.0014496100934593414,-125.0,1.4210854715202004e-14
123,83.0,0.004864709522735211,-478.0,1.4210854715202004e-14
124,51.0,0.0034147468118135293,-446.0,1.4210854715202004e-14
125,18.0,0.0010345794244130957,82.0,1.4210854715202004e-14
126,26.0,0.0014489048585346609,74.0,1.4210854715202004e-14
127,14.0,0.0016287397274936666,86.0,1.4210854715202004e-14
128,33.0,0.002210205805113219,-230.0,1.4210854715202004e-14
129,18.0,0.000955593128765031,82.0,1.4210854715202004e-14
130,12.0,0.0006569261990989617,88.0,1.4210854715202004e-14
131,30.0,0.001582899466939125,-29.0,1.4210854715202004e-14
132,12.0,0.0006512843206110119,88.0,1.4210854715202004e-14
133,26.0,0.0017041998494278232,-25.0,1.4210854715202004e-14
134,34.0,0.0018173900321016845,-132.0,1.4210854715202004e-14
135,15.0,0.0008416977116212365,-14.0,1.4210854715202004e-14
136,51.0,0.0027186800825802493,-248.0,1.4210854715202004e-14
137,42.0,0.003286746698904608,-338.0,1.4210854715202004e-14
138,18.0,0.0009763975549503812,82.0,1.4210854715202004e-14
139,28.0,0.0014591307626687922,-27.0,1.4210854715202004e-14
140,22.0,0.0012140616763645085,-21.0,1.4210854715202004e-14
141,20.0,0.0012126512069698947,80.0,1.4210854715202004e-14
142,50.0,0.00267812908259657,-247.0,1.4210854715202004e-14
143,36.0,0.0018357261360506527,-233.0,1.4210854715202004e-14
144,33.0,0.001725709510537854,-131.0,1.4210854715202004e-14
145,26.0,0.002539903065553517,-124.0,1.4210854715202004e-14
146,14.0,0.0010377529811194108,86.0,1.4210854715202004e-14
147,12.0,0.000670678276947001,88.0,1.4210854715202004e-14
148,38.0,0.0021012470310779463,-235.0,1.4210854715202004e-14
149,18.0,0.0010772461287160695,82.0,1.4210854715202004e-14
150,16.0,0.0012352187195574515,-15.0,1.4210854715202004e-14
151,27.0,0.0014697092842652637,-26.0,1.4210854715202004e-14
152,14.0,0.00075178027691436,86.0,1.4210854715202004e-14
153,18.0,0.0009503038681941689,82.0,1.4210854715202004e-14
154,12.0,0.0006770253903596313,88.0,1.4210854715202004e-14
155,26.0,0.0017302935361840355,-25.0,1.4210854715202004e-14
156,32.0,0.004366108531939972,-328.0,1.4210854715202004e-14
157,54.0,0.005699707503936224,-449.0,1.4210854715202004e-14
158,21.0,0.0013096209891045874,-20.0,1.4210854715202004e-14
159,16.0,0.0009016426679409051,84.0,1.4210854715202004e-14
160,22.0,0.0011470643721622764,-21.0,1.4210854715202004e-14
161,38.0,0.0024446963702757785,-235.0,1.4210854715202004e-14
162,15.0,0.0011689266502799,85.0,1.4210854715202004e-14
163,34.0,0.0019161229015480785,-132.0,1.4210854715202004e-14
164,29.0,0.0017267673624701274,-28.0,1.4210854715202004e-14
165,26.0,0.0018001117796302424,-25.0,1.4210854715202004e-14
166,56.0,0.0030173470122463186,-253.0,1.4210854715202004e-14
167,14.0,0.0011188549810867698,86.0,1.4210854715202004e-14
168,18.0,0.0013494667546183337,-17.0,1.4210854715202004e-14
169,16.0,0.0008896536769498198,84.0,1.4210854715202004e-14
170,56.0,0.00347716009036958,-649.0,1.4210854715202004e-14
171,14.0,0.0007584800077893306,86.0,1.4210854715202004e-14
172,26.0,0.00144784700614764,-25.0,1.4210854715202004e-14
173,30.0,0.0015360013539975625,-128.0,1.4210854715202004e-14
174,49.0,0.003159451820920367,-444.0,1.4210854715202004e-14
175,45.0,0.002335737596240506,-44.0,1.4210854715202004e-14
176,25.0,0.001329367563357664,-123.0,1.4210854715202004e-14
177,16.0,0.001028584928917553,84.0,1.4210854715202004e-14
178,15.0,0.0010515050594221975,85.0,1.4210854715202004e-14
179,36.0,0.002788498326026456,-35.0,1.4210854715202004e-14
180,22.0,0.001230987310918863,-21.0,1.4210854715202004e-14
181,76.0,0.0044764777758246055,-372.0,1.4210854715202004e-14
182,14.0,0.0008078464420577802,86.0,1.4210854715202004e-14
183,29.0,0.0022059743964746303,-226.0,1.4210854715202004e-14
184,13.0,0.0010472736503288615,87.0,1.4210854715202004e-14
185,20.0,0.0019651367188089353,-19.0,1.4210854715202004e-14
186,14.0,0.0019305802143207984,86.0,1.4210854715202004e-14
187,23.0,0.001834315666656039,-22.0,1.4210854715202004e-14
188,32.0,0.0019524424928931694,-31.0,1.4210854715202004e-14
189,12.0,0.0011523536327331385,88.0,1.4210854715202004e-14
190,18.0,0.0015550426933259587,82.0,1.4210854715202004e-14
191,40.0,0.0033590332641324494,-138.0,1.4210854715202004e-14
192,19.0,0.0011636373892542906,-18.0,1.4210854715202004e-14
193,28.0,0.0029062725348012464,-126.0,1.4210854715202004e-14
194,30.0,0.0015501060497626895,-128.0,1.4210854715202004e-14
195,29.0,0.0015204861888378218,-28.0,1.4210854715202004e-14
196,32.0,0.0018829768664545554,-130.0,1.4210854715202004e-14
197,12.0,0.0007426122247125022,88.0,1.4210854715202004e-14
198,29.0,0.001513081223492918,-28.0,1.4210854715202004e-14
199,37.0,0.001903076057715225,-333.0,1.4210854715202004e-14
200,25.0,0.0013864915799786104,75.0,1.4210854715202004e-14
201,22.0,0.001517312632586254,78.0,1.4210854715202004e-14
202,26.0,0.001826558083848795,-25.0,1.4210854715202004e-14
203,48.0,0.002773688395791396,-245.0,1.4210854715202004e-14
204,48.0,0.0025028782392837456,-245.0,1.4210854715202004e-14
205,16.0,0.0014132905021142506,84.0,1.4210854715202004e-14
206,16.0,0.000923857563520869,84.0,1.4210854715202004e-14
207,66.0,0.0034369617073934933,-461.0,1.4210854715202004e-14
208,34.0,0.0018734561967903574,-132.0,1.4210854715202004e-14
209,33.0,0.002467969117788016,-131.0,1.4210854715202004e-14
210,37.0,0.0019083653187408345,-36.0,1.4210854715202004e-14
211,16.0,0.0008713175725461042,84.0,1.4210854715202004e-14
212,20.0,0.0011505905458761845,-19.0,1.4210854715202004e-14
213,14.0,0.0011142709545310936,86.0,1.4210854715202004e-14
214,49.0,0.002509930587166309,-246.0,1.4210854715202004e-14
215,35.0,0.0018293790235475171,-133.0,1.4210854715202004e-14
216,17.0,0.0009347887025796808,-16.0,1.4210854715202004e-14
217,42.0,0.0035804769854621554,-239.0,1.4210854715202004e-14
218,19.0,0.0013173785719118314,-18.0,1.4210854715202004e-14
219,16.0,0.0008737858943277388,84.0,1.4210854715202004e-14
220,27.0,0.0014111747977949562,-125.0,1.4210854715202004e-14
221,18.0,0.0012313399283812032,82.0,1.4210854715202004e-14
222,21.0,0.0014577202932741784,-20.0,1.4210854715202004e-14
223,42.0,0.0022204317097020976,-140.0,1.4210854715202004e-14
224,35.0,0.0018015222490248561,-133.0,1.4210854715202004e-14
225,16.0,0.0009457198416384927,84.0,1.4210854715202004e-14
226,28.0,0.0027892035604963894,72.0,1.4210854715202004e-14
227,16.0,0.0009443093726986262,84.0,1.4210854715202004e-14
228,14.0,0.0007680006769987813,86.0,1.4210854715202004e-14
229,31.0,0.001696089649158239,-129.0,1.4210854715202004e-14
230,14.0,0.0007955048336043546,86.0,1.4210854715202004e-14
231,40.0,0.0025695229260236374,-138.0,1.4210854715202004e-14
232,19.0,0.0010740725720097544,81.0,1.4210854715202004e-14
233,17.0,0.0009069319289665145,-16.0,1.4210854715202004e-14
234,27.0,0.0015261280668710242,-26.0,1.4210854715202004e-14
235,12.0,0.0008085516769824608,88.0,1.4210854715202004e-14
236,23.0,0.001326194006651349,-22.0,1.4210854715202004e-14
237,18.0,0.001423869023710722,82.0,1.4210854715202004e-14
238,12.0,0.0006604523728128697,88.0,1.4210854715202004e-14
239,21.0,0.0011378963199604186,-20.0,1.4210854715202004e-14
240,24.0,0.0014312739890556259,-122.0,1.4210854715202004e-14
241,12.0,0.0006819620334681531,88.0,1.4210854715202004e-14
242,33.0,0.0017472191711931373,-131.0,1.4210854715202004e-14
243,43.0,0.0029813800388183154,-240.0,1.4210854715202004e-14
244,14.0,0.0007648271202924661,86.0,1.4210854715202004e-14
245,52.0,0.002665434856680804,-447.0,1.4210854715202004e-14
246,14.0,0.0009637033290346153,86.0,1.4210854715202004e-14
247,14.0,0.0011699845026669209,86.0,1.4210854715202004e-14
248,32.0,0.002276850492307858,-31.0,1.4210854715202004e-14
249,21.0,0.0017038472324202303,79.0,1.4210854715202004e-14
250,20.0,0.0011086290764978912,80.0,1.4210854715202004e-14
251,15.0,0.0011445960503806418,85.0,1.4210854715202004e-14
252,13.0,0.0007542485986959946,-12.0,1.4210854715202004e-14
253,30.0,0.0015448167891918274,-128.0,1.4210854715202004e-14
254,28.0,0.0014372684845511685,-126.0,1.4210854715202004e-14
255,13.0,0.0007031190771158435,87.0,1.4210854715202004e-14
256,16.0,0.0009513617201264424,84.0,1.4210854715202004e-14
257,21.0,0.0012041883892379701,-20.0,1.4210854715202004e-14
258,12.0,0.0017860070843198628,88.0,1.4210854715202004e-14
259,33.0,0.0025522446740069427,-32.0,1.4210854715202004e-14
260,14.0,0.0009115159550674434,86.0,1.4210854715202004e-14
261,14.0,0.0009421936683793319,86.0,1.4210854715202004e-14
262,14.0,0.0007704689987804159,86.0,1.4210854715202004e-14
263,18.0,0.0015416432324855123,-17.0,1.4210854715202004e-14
264,26.0,0.001384375875659316,-25.0,1.4210854715202004e-14
265,27.0,0.0014291582842815842,-26.0,1.4210854715202004e-14
266,12.0,0.0006586892859559157,88.0,1.4210854715202004e-14
267,16.0,0.0009503038677394215,84.0,1.4210854715202004e-14
268,14.0,0.0007859841639401566,86.0,1.4210854715202004e-14
269,14.0,0.00080749382459544,86.0,1.4210854715202004e-14
270,17.0,0.0014422051281144377,83.0,1.4210854715202004e-14
271,52.0,0.0030251045950535627,-546.0,1.4210854715202004e-14
272,12.0,0.0006914827031323512,88.0,1.4210854715202004e-14
273,24.0,0.0018135112404706888,-23.0,1.4210854715202004e-14
274,32.0,0.001754624136538041,-31.0,1.4210854715202004e-14
275,16.0,0.0009562983636897116,84.0,1.4210854715202004e-14
276,14.0,0.000969697824530158,86.0,1.4210854715202004e-14
277,16.0,0.0010571469374554,84.0,1.4210854715202004e-14
278,59.0,0.006680336467525194,-454.0,1.4210854715202004e-14
279,14.0,0.0011516483982632053,86.0,1.4210854715202004e-14
280,15.0,0.0008864801202435046,85.0,1.4210854715202004e-14
281,13.0,0.0008512183812854346,-12.0,1.4210854715202004e-14
282,32.0,0.0021650707790286106,-229.0,1.4210854715202004e-14
283,14.0,0.0007708216162427561,86.0,1.4210854715202004e-14
284,14.0,0.0007877472507971106,86.0,1.4210854715202004e-14
285,17.0,0.0009954388942787773,83.0,1.4210854715202004e-14
286,16.0,0.001598767249561206,84.0,1.4210854715202004e-14
287,18.0,0.0020681009964391706,82.0,1.4210854715202004e-14
288,39.0,0.002197864196205046,-137.0,1.4210854715202004e-14
289,19.0,0.0010000229199249588,81.0,1.4210854715202004e-14
290,22.0,0.001140012024279713,-120.0,1.4210854715202004e-14
291,24.0,0.001582899466939125,-23.0,1.4210854715202004e-14
292,14.0,0.000799383624780603,86.0,1.4210854715202004e-14
293,16.0,0.0008547445549993427,84.0,1.4210854715202004e-14
294,27.0,0.0014996817626524717,-125.0,1.4210854715202004e-14
295,37.0,0.001986998996926559,-36.0,1.4210854715202004e-14
296,43.0,0.0035328736375959124,-141.0,1.4210854715202004e-14
297,12.0,0.0008297087201754039,88.0,1.4210854715202004e-14
298,23.0,0.001202425302381016,-22.0,1.4210854715202004e-14
299,23.0,0.001208772415338899,77.0,1.4210854715202004e-14
300,34.0,0.001963021014489641,-132.0,1.4210854715202004e-14
301,14.0,0.0007796370509822736,86.0,1.4210854715202004e-14
302,17.0,0.0009048162246472202,83.0,1.4210854715202004e-14
303,12.0,0.0006534000249303062,88.0,1.4210854715202004e-14
304,20.0,0.0012239349630362995,-19.0,1.4210854715202004e-14
305,12.0,0.0007919786594356992,88.0,1.4210854715202004e-14
306,12.0,0.0007443753120242036,88.0,1.4210854715202004e-14
307,20.0,0.0014481996240647277,-19.0,1.4210854715202004e-14
308,78.0,0.004462020462597138,-572.0,1.4210854715202004e-14
309,49.0,0.002794845438984339,-246.0,1.4210854715202004e-14
310,18.0,0.0014520784147862287,82.0,1.4210854715202004e-14
311,18.0,0.0010832406242116122,82.0,1.4210854715202004e-14
312,15.0,0.0008117252336887759,85.0,1.4210854715202004e-14
313,16.0,0.0010359898942624568,84.0,1.4210854715202004e-14
