episode,length,time,reward,delta
0,277.0,0.016616036686173175,-870.0,100.0
1,500.0,0.029124433388005855,-2283.0,-0.5345449710752408
2,216.0,0.013846227082012774,-512.0,90.0
3,372.0,0.02449774060414711,-1163.0,81.0
4,246.0,0.014661125872407865,-938.0,72.9
5,182.0,0.012789432762019715,-676.0,65.61
6,71.0,0.0038029785591788823,-70.0,59.049
7,125.0,0.008235379160396405,-223.0,53.1441
8,211.0,0.015357545218648738,-408.0,47.82969
9,183.0,0.011500616199100477,-380.0,43.046721
10,40.0,0.00251098843955333,60.0,38.7420489
11,76.0,0.004079077976257395,-75.0,34.86784401
12,54.0,0.0030025370820112585,46.0,31.381059609000005
13,39.0,0.0023131700831982016,61.0,28.2429536481
14,80.0,0.005954649877367046,20.0,25.41865828329
15,52.0,0.0026936442477563105,48.0,22.876792454961006
16,148.0,0.00842614516886897,-543.0,20.589113209464898
17,90.0,0.008521351864601456,-89.0,18.530201888518405
18,50.0,0.002634051908444235,50.0,16.677181699666562
19,29.0,0.00171795192773061,-28.0,15.0094635296999
20,54.0,0.003912995184691681,46.0,13.50851717672991
21,73.0,0.0070583423103016685,27.0,12.157665459056915
22,89.0,0.005080863983494055,-187.0,10.94189891315122
23,65.0,0.003812499228388333,-64.0,9.847709021836096
24,29.0,0.002772277925942035,71.0,8.862938119652483
25,92.0,0.004740235583994945,-190.0,7.976644307687238
26,36.0,0.001834315666656039,64.0,7.178979876918518
27,17.0,0.0009051688416548131,83.0,6.461081889226662
28,99.0,0.005737790182138269,-197.0,5.8149737003039945
29,83.0,0.006107333207637566,17.0,5.233476330273589
30,26.0,0.001485577067342092,-25.0,4.710128697246233
31,38.0,0.0019513846405061486,62.0,4.239115827521616
32,37.0,0.0018956710923703213,63.0,3.815204244769461
33,34.0,0.0017789547364372993,66.0,3.433683820292515
34,49.0,0.004530428236193984,51.0,3.0903154382632607
35,25.0,0.0015049710236780811,75.0,2.781283894436939
36,21.0,0.0012063040935572644,79.0,2.503155504993245
37,41.0,0.0023085860570972727,59.0,2.252839954493922
38,31.0,0.001657654353948601,69.0,2.027555959044534
39,42.0,0.00232304337032474,58.0,1.8248003631400849
40,39.0,0.0020913737444061553,61.0,1.6423203268260806
41,60.0,0.004850604826970084,-59.0,1.4780882941434754
42,20.0,0.0011093343114225718,80.0,1.3302794647291307
43,35.0,0.0019704259798345447,-34.0,1.1972515182562233
44,27.0,0.0014827561280981172,73.0,1.0775263664306038
45,56.0,0.0028463275780268305,-253.0,0.9697737297875477
46,37.0,0.0019418639708419505,63.0,0.8727963568087915
47,20.0,0.0010620835805639217,80.0,0.7855167211279195
48,35.0,0.0026633191523615096,-34.0,0.7069650490151247
49,35.0,0.0021700074225918797,65.0,0.6362685441136193
50,22.0,0.0011615216849349963,78.0,0.5726416897022517
51,53.0,0.002771220073555014,47.0,0.5153775207320308
52,31.0,0.0016410813364018395,69.0,0.46383976865882914
53,24.0,0.0012613124067684112,76.0,0.41745579179294623
54,12.0,0.0009259732682949107,88.0,0.37571021261365445
55,47.0,0.002487715691586345,53.0,0.3381391913522833
56,31.0,0.0018780402233460336,69.0,0.3043252722170564
57,39.0,0.003515948003041558,-38.0,0.27389274499535077
58,34.0,0.0017327618584204174,-33.0,0.24650347049581
59,25.0,0.0012867008590546902,75.0,0.22185312344622332
60,21.0,0.0013022160237596836,79.0,0.19966781110160525
61,13.0,0.000710171424998407,87.0,0.179701029991449
62,52.0,0.0025931482914529624,-51.0,0.1617309269923055
63,22.0,0.0012390975111884472,78.0,0.14555783429307212
64,28.0,0.0031263057862815913,-27.0,0.1310020508637706
65,59.0,0.0037412705155475123,-58.0,0.11790184577739637
66,12.0,0.0006639785469815251,88.0,0.10611166119966242
67,29.0,0.0015229545106194564,-28.0,0.0955004950796905
68,30.0,0.0016153402671079675,-29.0,0.08595044557172571
69,38.0,0.002087494953229907,62.0,0.0773554010145574
70,21.0,0.0011192075980943628,-20.0,0.06961986091310735
71,21.0,0.0011128604851364798,79.0,0.06265787482179519
72,32.0,0.0024803107262414414,-130.0,0.05639208733961709
73,16.0,0.0013082105197099736,84.0,0.0507528786056497
74,12.0,0.0006650363989137986,88.0,0.04567759074508615
75,19.0,0.0010137749986824929,81.0,0.0411098316705818
76,43.0,0.002210205805113219,-141.0,0.0369988485035293
77,12.0,0.0006555157292496006,88.0,0.033298963653180635
78,37.0,0.0018798033102029876,-135.0,0.029969067287865414
79,17.0,0.000886480120698252,83.0,0.026972160559083136
80,24.0,0.001244034154296969,-23.0,0.024274944503176243
81,14.0,0.0007732899380243907,86.0,0.02184745005286004
82,29.0,0.001750392727444705,71.0,0.01966270504757972
83,20.0,0.0018914396837317327,-118.0,0.017696434542827433
84,14.0,0.0008529814681423886,86.0,0.01592679108854611
85,54.0,0.004847783887726109,-449.0,0.01433411197969292
86,29.0,0.002920377230111626,-127.0,0.012900700781727892
87,18.0,0.0016509546235283779,-17.0,0.011610630703557945
88,24.0,0.002143208500910987,-23.0,0.01044956763320215
89,14.0,0.00269293901283163,86.0,0.009404610869879093
90,14.0,0.0010783039811030903,86.0,0.008464149782895447
91,47.0,0.002479252874309168,-343.0,0.007617734804611587
