steps,time,reward,delta,converged
1,0.012664958822824701,-4.199074074074074,100.0,False
2,0.028025677598634502,-2.7784431137724552,100.0,False
3,0.030299707151243638,-4.952095808383233,100.0,False
4,0.029154758483855403,-3.568862275449102,100.0,False
5,0.00960071369763682,-0.9883040935672515,100.0,False
6,0.02943791024836173,-3.568862275449102,100.0,False
7,0.01273019304016998,-0.9883720930232558,100.0,False
8,0.035349188186501124,-2.3832335329341316,100.0,False
9,0.029113502248492296,-1.7904191616766467,100.0,False
10,0.033534266476181074,-2.5808383233532934,100.0,False
11,0.020524800462681014,-0.9938837920489296,100.0,False
12,0.030357183785781672,-1.592814371257485,100.0,False
13,0.03178881039229964,-1.3952095808383234,100.0,False
14,0.030669250176742935,-1.592814371257485,100.0,False
15,0.007951522161420144,-0.31756756756756754,100.0,False
16,0.031559256471155095,-1.592814371257485,100.0,False
17,0.00417322681960286,0.4852941176470588,100.0,False
18,0.027717489998849487,-1.3952095808383234,100.0,False
19,0.02947810863088307,-1.0,100.0,False
20,0.032499334434760385,-1.1976047904191616,100.0,False
21,0.03195136700924195,-1.592814371257485,100.0,False
22,0.028153677711088676,-0.7518427518427518,100.0,False
23,0.029616687265388464,-1.1976047904191616,100.0,False
24,0.029774659856684593,-1.1976047904191616,100.0,False
25,0.01758573451115808,-0.6793650793650794,100.0,False
26,0.029572257474228536,-1.0,100.0,False
27,0.028133931137290347,-1.3952095808383234,100.0,False
28,0.027060211182288185,-1.1976047904191616,100.0,False
29,0.03611542577664295,-0.768348623853211,100.0,False
30,0.029033105483904365,-1.0,100.0,False
31,0.008838707516133582,-0.2518518518518518,100.0,False
32,0.02763779846873149,-1.3952095808383234,100.0,False
33,0.029632555048010545,-1.0,100.0,False
34,0.030405139751110255,-1.1976047904191616,100.0,False
35,0.02902076387499619,-1.0,100.0,False
36,0.027736531338177883,-1.0,100.0,False
37,0.027954096267876594,-1.0,100.0,False
38,0.031385768714699225,-1.0,100.0,False
39,0.028286261850098526,-1.0,100.0,False
40,0.029802164013290167,-1.0,100.0,False
41,0.027546823181637592,-1.0,100.0,False
42,0.030709095941801934,-1.0,100.0,False
43,0.029083177153552242,-1.0,100.0,False
44,0.032798706599351135,-1.0,100.0,False
45,0.03074788385492866,-1.0,100.0,False
46,0.013574006456565257,-0.545045045045045,100.0,False
47,0.030476368463951076,-1.0,100.0,False
48,0.028122999998231535,-1.0,100.0,False
49,0.029266185578762816,-1.0,100.0,False
50,0.02929580544014243,-1.0,100.0,False
51,0.028668499101968337,-1.0,100.0,False
52,0.028347617276267556,-1.0,100.0,False
53,0.0288973477881882,-1.0,100.0,False
54,0.029641017865287722,-1.0,100.0,False
55,0.03214989060052176,-1.0,100.0,False
56,0.029474229839252075,-1.0,100.0,False
57,0.02793822848570926,-1.0,100.0,False
58,0.029820852734701475,-1.0,100.0,False
59,0.03306951675540404,-1.0,100.0,False
60,0.031124831845318113,-1.0,100.0,False
61,0.030988721532594354,-1.0,100.0,False
62,0.028681193327884102,-1.0,100.0,False
63,0.039874327162124246,-1.0,100.0,False
64,0.03187696474014956,-1.0,100.0,False
65,0.029808863743255642,-1.0,100.0,False
66,0.028814835318826226,-1.1976047904191616,100.0,False
67,0.02938642810931924,-1.0,100.0,False
68,0.02918790451803943,-1.0,100.0,False
69,0.029144532579266524,-1.0,100.0,False
70,0.027257676921180973,-1.0,100.0,False
71,0.03577902878578243,-1.0,100.0,False
72,0.04644570485561417,-1.0,100.0,False
73,0.02926971175293147,-1.0,100.0,False
74,0.028611727701900236,-1.0,100.0,False
75,0.030716500907146838,-1.0,100.0,False
76,0.02993051674320668,-1.0,100.0,False
77,0.0288176562580702,-1.0,100.0,False
78,0.03125177410629476,-1.0,100.0,False
79,0.036594280193185114,-1.0,100.0,False
80,0.03207055168741135,-1.0,100.0,False
81,0.03262486622588767,-1.0,100.0,False
82,0.030274318699412106,-1.0,100.0,False
83,0.031056776689183607,-1.0,100.0,False
84,0.0285126422149915,-1.0,100.0,False
85,0.027467836886444275,-1.0,100.0,False
86,0.029911828021340625,-1.0,100.0,False
87,0.03626246722842552,-1.0,100.0,False
88,0.031144578419116442,-1.0,100.0,False
89,0.0286586258148418,-1.0,100.0,False
90,0.030906561680694722,-1.0,100.0,False
91,0.02942204246573965,-1.0,100.0,False
92,0.03250145013907968,-1.0,100.0,False
93,0.0273116273820051,-1.0,100.0,False
94,0.0291473535185105,-1.0,100.0,False
95,0.037586898148219916,-1.0,100.0,False
96,0.033992316466992634,-1.0,100.0,False
97,0.029637844308581407,-1.0,100.0,False
98,0.02968580027390999,-1.0,100.0,False
99,0.03175566435766086,-1.0,100.0,False
100,0.030120930134216906,-1.0,100.0,False
101,0.028864906988474104,-1.0,100.0,False
102,0.03090056718519918,-1.0,100.0,False
103,0.03329730758969163,-1.0,100.0,False
104,0.0299146489605846,-1.0,100.0,False
105,0.031208402167521854,-1.0,100.0,False
106,0.03213190711358038,-1.0,100.0,False
107,0.029758439456145425,-1.0,100.0,False
108,0.027059858565280592,-1.0,100.0,False
109,0.029758439456600172,-1.0,100.0,False
110,0.029898428560954926,-1.0,100.0,False
111,0.03389252574515922,-1.0,100.0,False
112,0.03145276601890146,-1.0,100.0,False
113,0.03304553877296712,-1.0,100.0,False
114,0.030888578193753347,-1.0,100.0,False
115,0.032829031694745936,-1.0,100.0,False
116,0.033988437675816385,-1.0,100.0,False
117,0.029714009664985497,-1.0,100.0,False
118,0.027603947198713286,-1.0,100.0,False
119,0.031650584375256585,-1.0,100.0,False
120,0.02942838957915228,-1.0,100.0,False
121,0.0285923337451095,-1.0,100.0,False
122,0.029012653675181355,-1.0,100.0,False
123,0.02831235553685474,-1.0,100.0,False
124,0.02942521602199122,-1.0,100.0,False
125,0.033463742998264934,-1.0,100.0,False
126,0.030960864758981188,-1.0,100.0,False
127,0.03778013247801937,-1.0,100.0,False
128,0.029791232873776607,-1.0,100.0,False
129,0.02954334284822835,-1.0,100.0,False
130,0.032198551800320274,-1.0,100.0,False
