episode,length,time,reward,delta
0,500.0,0.02714942338207038,-3273.0,-0.7877028718039325
1,500.0,0.026679737017730076,-2481.0,-0.6368822534236793
2,91.0,0.0047906598706504155,9.0,100.00005983319603
3,109.0,0.005663740530053474,-504.0,90.00005384987644
4,500.0,0.02965159638733894,-2085.0,-0.38195591934266204
5,300.0,0.016921050729251874,-1586.0,81.00004846488879
6,124.0,0.006974419371545082,-321.0,72.9000436183999
7,109.0,0.005968754573132173,-9.0,65.61003925655992
8,225.0,0.015302536905892339,-620.0,59.04903533090392
9,72.0,0.003827661776540481,28.0,53.14413179781353
10,124.0,0.0074384638578521844,-321.0,47.829718618032175
11,356.0,0.019990585115465365,-1642.0,43.046746756228956
12,76.0,0.00399973906314699,-174.0,38.74207208060606
13,157.0,0.008011819734747405,-354.0,34.867864872545454
14,75.0,0.004033590332710446,25.0,31.381078385290905
15,82.0,0.004189447219232534,-180.0,28.24297054676181
16,71.0,0.003631253889579966,29.0,25.41867349208563
17,165.0,0.008866211672739155,-659.0,22.876806142877072
18,42.0,0.00219081184877723,-41.0,20.589125528589364
19,75.0,0.003981402958743274,-173.0,18.53021297573042
20,59.0,0.0032363224122491374,41.0,16.677191678157385
21,277.0,0.015337446027842816,-1761.0,15.009472510341652
22,48.0,0.002441170196107123,52.0,13.50852525930749
23,74.0,0.004189447219232534,-172.0,12.157672733376742
24,117.0,0.006067487442578567,-611.0,10.941905460039067
25,53.0,0.002750063030362071,47.0,9.847714914035166
26,70.0,0.004208841175568523,-168.0,8.862943422631645
27,99.0,0.005093558209409821,-593.0,7.976649080368475
28,48.0,0.002541666152410471,52.0,7.178984172331624
29,112.0,0.00565598294724623,-309.0,6.461085755098466
30,56.0,0.00320705516878661,-55.0,5.814977179588624
31,34.0,0.0019341063880347065,66.0,5.233479461629756
32,127.0,0.0068287883891571255,-621.0,4.710131515466784
33,32.0,0.001664001466906484,68.0,4.239118363920099
34,75.0,0.004253976201653131,-74.0,3.8152065275280904
35,75.0,0.003798041915615613,-272.0,3.4336858747752785
36,125.0,0.006899311867073266,-322.0,3.0903172872977507
37,60.0,0.003162977994634275,-59.0,2.7812855585679728
38,17.0,0.0009460724591008329,-16.0,2.503157002711177
39,71.0,0.004044874088776851,-169.0,2.2528413024400606
40,27.0,0.001396717484567489,73.0,2.0275571721960546
41,31.0,0.0015881887279647344,69.0,1.824801454976452
42,25.0,0.0012877587105322164,75.0,1.6423213094788025
43,30.0,0.0019750100054807262,-128.0,1.4780891785309223
44,44.0,0.0022384151961887255,56.0,1.3302802606778243
45,68.0,0.0038664496896672063,-463.0,1.1972522346100476
46,29.0,0.0015201335713754816,71.0,1.0775270111490443
47,39.0,0.0020166188573966792,61.0,0.9697743100341398
48,24.0,0.0012521443545665534,76.0,0.8727968790307301
49,34.0,0.0017408720582352544,-33.0,0.7855171911276528
50,40.0,0.002110062466272211,60.0,0.7069654720148861
51,20.0,0.0010511524415051099,80.0,0.6362689248133933
52,18.0,0.0009866234590845124,82.0,0.5726420323320554
53,21.0,0.0011657530940283323,79.0,0.5153778290988527
54,25.0,0.0013381829980971816,75.0,0.46384004618896313
55,41.0,0.0024482225439896865,-40.0,0.41745604157006255
56,15.0,0.0008050255028138054,85.0,0.375710437413062
57,13.0,0.0006978298160902341,87.0,0.33813939367175294
58,60.0,0.002984200977607543,-158.0,0.3043254543045748
59,48.0,0.0024334126137546264,52.0,0.2738929088741173
60,37.0,0.0019898199361705338,-36.0,0.24650361798670417
61,12.0,0.0006541052598549868,88.0,0.22185325618802665
62,29.0,0.0015613898062838416,71.0,0.19966793056921972
63,29.0,0.0016735221361159347,-28.0,0.17970113751229633
64,25.0,0.0013452353455249977,75.0,0.16173102376106385
65,56.0,0.0029951321166663547,-154.0,0.14555792138496315
66,26.0,0.0013540507807192625,74.0,0.13100212924646826
67,63.0,0.0037694799070777663,-161.0,0.11790191632182712
68,25.0,0.0013216099800956727,-24.0,0.10611172468964014
69,22.0,0.0015790206757628766,78.0,0.09550055222067044
70,31.0,0.0016061722144513624,-30.0,0.08595049699860624
71,35.0,0.002105125822708942,65.0,0.07735544729874277
72,22.0,0.0012041883892379701,78.0,0.06961990256887418
73,39.0,0.0019802992660515883,-236.0,0.06265791231199103
74,41.0,0.0020737428749271203,-40.0,0.0563921210807905
75,39.0,0.002046591335783887,-137.0,0.05075290897271145
76,16.0,0.0008459291207145725,84.0,0.04567761807544457
77,26.0,0.0013300727978275972,74.0,0.04110985626789443
78,17.0,0.0009227997115885955,83.0,0.0369988706410993
79,89.0,0.0048424946267005,-385.0,0.03329898357698369
80,24.0,0.001301510788835003,76.0,0.029969085219292424
81,15.0,0.000799383624780603,-14.0,0.026972176697356076
82,25.0,0.0012852903892053291,-24.0,0.02427495902762189
83,92.0,0.004921833539810905,-487.0,0.02184746312485686
84,23.0,0.001190788928852271,77.0,0.019662716812376857
85,30.0,0.0015296542410396796,70.0,0.01769644513113633
86,44.0,0.0027334900128153095,-241.0,0.015926800618018433
87,15.0,0.0008462817377221654,85.0,0.014334120556213747
88,18.0,0.0010804196854223846,82.0,0.012900708500595215
89,29.0,0.0015391749107038777,-226.0,0.011610637650534272
90,16.0,0.0008833065639919369,84.0,0.010449573885480845
91,27.0,0.0013988331888867833,-26.0,0.009404616496937024
92,34.0,0.0019401008835302491,-33.0,0.008464154847246164
93,18.0,0.0011297861196908343,82.0,0.007617739362515863
94,63.0,0.0036125651681686577,-458.0,0.00685596542626854
95,22.0,0.0011625795373220171,78.0,0.006170368883644528
96,14.0,0.0009548878942950978,86.0,0.00555333199527297
97,27.0,0.0014788773369218688,-125.0,0.004997998795744252
98,33.0,0.0017496874925200245,-32.0,0.004498198916166984
99,18.0,0.0014259847280300164,82.0,0.004048379024553128
