steps,time,reward,delta,converged
1,0.00528044542625139,0.06315789473684211,100.0,False
2,0.03473492869215988,-3.7664670658682633,100.0,False
3,0.02781587025083354,-2.18562874251497,100.0,False
4,0.014363516794219322,-2.005128205128205,100.0,False
5,0.008112668308513094,-0.1652892561983471,100.0,False
6,0.010629298626554373,-0.98989898989899,100.0,False
7,0.010416317722047097,-2.1666666666666665,100.0,False
8,0.016428796851869265,-2.392226148409894,100.0,False
9,0.01511917586230993,-1.748091603053435,100.0,False
10,0.010027733357674151,-0.9868421052631579,100.0,False
11,0.015486955800952273,-2.8411214953271027,100.0,False
12,0.018622077021973382,-2.6081632653061226,100.0,False
13,0.0033336448118461703,-0.9696969696969697,100.0,False
14,0.008020987786949263,-0.9871794871794872,100.0,False
15,0.010152559913876757,-0.36875,100.0,False
16,0.00416687970619023,-2.2125,100.0,False
17,0.010482609791779396,-1.60625,100.0,False
18,0.004081193680121942,-0.9726027397260274,100.0,False
19,0.015848741244099074,-1.4490740740740742,100.0,False
20,0.003736333871984243,-2.3472222222222223,100.0,False
21,0.01434694377667256,-2.5823293172690764,100.0,False
22,0.005151387460955448,-2.065934065934066,100.0,False
23,0.008418387586516474,-1.6879432624113475,100.0,False
24,0.0038463504984065366,-2.25974025974026,100.0,False
25,0.005243067982519278,-0.9636363636363636,100.0,False
26,0.003278636499089771,-0.96875,100.0,False
27,0.004658075731640565,-0.978021978021978,100.0,False
28,0.008108084282866912,-0.056074766355140186,100.0,False
29,0.0021569605792137736,1.4634146341463414,100.0,False
30,0.005442296808723768,-1.9326923076923077,100.0,False
31,0.0067254714936098026,-0.9824561403508771,100.0,False
32,0.0067399288063825225,-3.36,100.0,False
33,0.003164035847021296,0.6031746031746031,100.0,False
34,0.004069204689130856,0.4027777777777778,100.0,False
35,0.005389404200286663,-0.96875,100.0,False
36,0.0051154204875274445,-0.9801980198019802,100.0,False
37,0.0037116506546226447,-0.9722222222222222,100.0,False
38,0.0061045122683935915,-2.197530864197531,100.0,False
39,0.001877687605428946,1.8055555555555556,100.0,False
40,0.004880224687894952,-2.0319148936170213,100.0,False
41,0.005855917007920652,-0.978494623655914,100.0,False
42,0.004240929358275025,-0.9672131147540983,100.0,False
43,0.004694747939993249,-0.9777777777777777,100.0,False
44,0.0011699845026669209,3.391304347826087,100.0,False
45,0.003385479568351002,-0.9701492537313433,100.0,False
46,0.009069671907127486,-3.062937062937063,100.0,False
47,0.0022525198919538525,1.3488372093023255,100.0,False
48,0.003162272760164342,0.7413793103448276,100.0,False
49,0.0029224929344309203,-0.9629629629629629,100.0,False
50,0.002052585831734177,3.04,100.0,False
51,0.004202846680527728,0.32894736842105265,100.0,False
52,0.004643971035875438,-0.978494623655914,100.0,False
53,0.002294833978794486,-0.9545454545454546,100.0,False
54,0.0021573131962213665,1.9705882352941178,100.0,False
55,0.00362420154215215,-0.9512195121951219,100.0,False
56,0.0013209047456257395,2.8846153846153846,100.0,False
57,0.00207339025746478,1.4634146341463414,100.0,False
58,0.0020790321354979824,-0.9411764705882353,100.0,False
59,0.0026012584912677994,1.0612244897959184,100.0,False
60,0.00252579836978839,1.1041666666666667,100.0,False
61,0.005176070678771794,-2.6166666666666667,100.0,False
62,0.0032045868470049754,-0.9672131147540983,100.0,False
63,0.0013879020502827188,2.740740740740741,100.0,False
64,0.003591055507058627,-2.3857142857142857,100.0,False
65,0.0014591307626687922,2.4827586206896552,100.0,False
66,0.007814706613316957,-3.234848484848485,100.0,False
67,0.0016453127450404281,2.15625,100.0,False
68,0.0016008829538805003,-0.9375,100.0,False
69,0.0013621609805340995,2.740740740740741,100.0,False
70,0.0024549222744099097,1.7297297297297298,100.0,False
71,0.002951054942968767,1.1956521739130435,100.0,False
72,0.002679892169453524,2.8846153846153846,100.0,False
73,0.0025198038742928475,-0.9607843137254902,100.0,False
74,0.003270526299274934,-0.9692307692307692,100.0,False
75,0.0029916059429524466,-0.9642857142857143,100.0,False
76,0.0009115159550674434,4.611111111111111,100.0,False
77,0.001995461814203736,2.15625,100.0,False
78,0.0028889942823298043,2.740740740740741,100.0,False
79,0.0014802878063164826,2.740740740740741,100.0,False
80,0.0014891032410560001,-0.9130434782608695,100.0,False
81,0.001598767249561206,2.15625,100.0,False
82,0.0010539733807490848,3.8095238095238093,100.0,False
83,0.002500409917502111,1.0612244897959184,100.0,False
84,0.0010740725720097544,4.611111111111111,100.0,False
85,0.0021999799009790877,-0.9534883720930233,100.0,False
86,0.0012122985895075544,4.611111111111111,100.0,False
87,0.004104819045551267,-2.7636363636363637,100.0,False
88,0.002591032587133668,0.9803921568627451,100.0,False
89,0.0011791525544140313,3.8095238095238093,100.0,False
