steps,time,reward,delta,converged
1,0.02712720848671779,0.0,0,False
2,0.004768797592305418,0.0,0,False
3,0.008483269186399411,0.0,0,False
4,0.010287964992130583,0.0,0,False
5,0.007643687179097469,0.0,0,False
6,0.045214717544695304,0.0,0,False
7,0.012468903553781274,0.0,0,False
8,0.013396639908933139,0.0,0,False
9,0.018934496030396986,0.0,0,False
10,0.0033957054729398806,0.0,0,False
11,0.03424902192750778,0.0,0,False
12,0.02284819645024072,0.0,0,False
13,0.023296725771388083,0.0,0,False
14,0.030499993829153027,0.0,0,False
15,0.024048506048302443,0.0,0,False
16,0.00915641578535542,0.0,0,False
17,0.023603502901096363,0.0,0,False
18,0.013819780777794222,0.0,0,False
19,0.01416957722949519,0.0,0,False
20,0.00267848170005891,0.0,0,False
21,0.01210641287616454,0.0,0,False
22,0.023312946171017757,0.0,0,False
23,0.004642913183715791,0.0,0,False
24,0.003535341959377547,0.0,0,False
25,0.00896529715964789,0.0,0,False
26,0.005219795235007041,0.0,0,False
27,0.007737483404980594,0.0,0,False
28,0.013558843908640483,0.0,0,False
29,0.0071433231016726495,0.0,0,False
30,0.0070939566669494525,0.0,0,False
31,0.008849638655192393,0.0,0,False
32,0.0024291812046612904,0.0,0,False
33,0.00899597487250503,0.0,0,False
34,0.0044740094535882236,0.0,0,False
35,0.01775922226693183,0.0,0,False
36,0.004900676496390588,0.0,0,False
37,0.01000446060993454,0.0,0,False
38,0.04545626045728568,0.0,0,False
39,0.011086643382213879,0.0,0,False
40,0.004502571462353444,0.0,0,False
41,0.005375299504294162,0.0,0,False
42,0.01704728775530384,0.0,0,False
43,0.013987626655762142,0.0,0,False
44,0.0024993520655698376,0.0,0,False
45,0.004365050679780325,0.0,0,False
46,0.02224345762510893,0.0,0,False
47,0.02017147783726614,0.0,0,False
48,0.017069855268118772,0.0,0,False
49,0.014490811672430937,0.0,0,False
50,0.0024535118047879223,0.0,0,False
51,0.013715758647549592,0.0,0,False
52,0.0016908003885873768,0.0,0,False
53,0.03949984749306168,0.0,0,False
54,0.018566716091982016,0.0,0,False
55,0.003178140542786423,0.0,0,False
56,0.0018075167449751461,0.0,0,False
57,0.010066521270573503,0.0,0,False
58,0.020197924141257317,0.0,0,False
59,0.0038653918372801854,0.0,0,False
60,0.03125001101921043,0.0,0,False
61,0.0076969324049969146,0.0,0,False
62,0.006075245024931064,0.0,0,False
63,0.025432176689491826,0.0,0,False
64,0.009936758071035001,0.0,0,False
65,0.01340757104799195,0.0,0,False
66,0.029792290725936255,0.0,0,False
67,0.03651987792386535,0.0,0,False
68,0.009403247958744032,0.0,0,False
69,0.0035970500027815433,0.0,0,False
70,0.013569069813001988,0.0,0,False
71,0.020567467166983988,0.0,0,False
72,0.004444036975428389,0.0,0,False
73,0.004059684019694032,0.0,0,False
74,0.0064564244244138536,0.0,0,False
75,0.009715314349705295,0.0,0,False
76,0.005295255356713824,0.0,0,False
77,0.0032472535513079492,0.0,0,False
78,0.005042428687602296,0.0,0,False
79,0.003944730750163217,0.0,0,False
80,0.002966922725818222,0.0,0,False
81,0.007611598996390967,0.0,0,False
82,0.005106605052787927,0.0,0,False
83,0.019254672621173086,0.0,0,False
84,0.030592379585414164,0.0,0,False
85,0.02073848660143085,0.0,0,False
86,0.029396301396218405,0.0,0,False
87,0.009539005654232824,0.0,0,False
88,0.004994120105038746,0.0,0,False
89,0.00334633903798931,0.0,0,False
90,0.004975078765937724,0.0,0,False
91,0.006990287153939789,0.0,0,False
92,0.004681701096615143,0.0,0,False
93,0.01132536535556028,0.0,0,False
94,0.02712438754770119,0.0,0,False
95,0.0036418324114038114,0.0,0,False
96,0.0012186457022380637,0.0,0,False
97,0.02277414679792855,0.0,0,False
98,0.006009305572888479,0.0,0,False
99,0.00253144024827634,0.0,0,False
100,0.0027990768476229277,0.0,0,False
101,0.002718327465117909,0.0,0,False
102,0.026912111878345968,0.0,0,False
103,0.00810350025653861,0.0,0,False
104,0.0039147582720033824,0.0,0,False
105,0.006029052146914182,0.0,0,False
106,0.011169155851575852,0.0,0,False
107,0.02607605604521268,0.0,0,False
108,0.006316435320286473,0.0,0,False
109,0.019703201942093074,0.0,0,False
110,0.001614635032183287,0.0,0,False
111,0.020488480871335923,0.0,0,False
112,0.016589942999416962,0.0,0,False
113,0.007741009578694502,0.0,0,False
114,0.001719009779890257,0.0,0,False
115,0.006199366346663737,0.0,0,False
116,0.007043884997301575,0.0,0,False
117,0.030442517194614993,0.0,0,False
118,0.021108734861627454,0.0,0,False
119,0.0027507682652867516,0.0,0,False
120,0.0210822885574089,0.0,0,False
121,0.004583320844858463,0.0,0,False
122,0.012156484545585045,0.0,0,False
123,0.007615477787794589,0.0,0,False
124,0.015773986357089598,0.0,0,False
125,0.009609176514913997,0.0,0,False
126,0.006913063945376052,0.0,0,False
127,0.04111271943816064,0.0,0,False
128,0.009895854453588981,0.0,0,False
129,0.017024367624799197,0.0,0,False
130,0.017207376050464518,0.0,0,False
131,0.029475640309101436,0.0,0,False
132,0.029460477761176662,0.0,0,False
133,0.006666937006684748,0.0,0,False
134,0.01010143039252398,0.0,0,False
135,0.010422664835232354,0.0,0,False
136,0.00618490903343627,0.0,0,False
137,0.006156699642360763,0.0,0,False
138,0.003368906551031614,0.0,0,False
139,0.006087586633839237,0.0,0,False
140,0.01659946366908116,0.0,0,False
141,0.017357943676415744,0.0,0,False
142,0.0038534028460617264,0.0,0,False
143,0.019547345055570986,0.0,0,False
144,0.03403004652795971,0.0,0,False
145,0.019350231934140538,0.0,0,False
146,0.012566578571068021,0.0,0,False
147,0.004081898915273996,0.0,0,False
148,0.008720580690123825,0.0,0,False
149,0.009875402645093345,0.0,0,False
150,0.020247290576207888,0.0,0,False
151,0.010078510262019336,0.0,0,False
152,0.017634043093266882,0.0,0,False
153,0.012073266841298391,0.0,0,False
154,0.007964921622033216,0.0,0,False
155,0.003503959011823099,0.0,0,False
156,0.011314786833963808,0.0,0,False
157,0.0031051487428612745,0.0,0,False
158,0.01118572886889524,0.0,0,False
159,0.00402794845444987,0.0,0,False
160,0.010100019922901993,0.0,0,False
161,0.003996565506668048,0.0,0,False
162,0.008585175612324747,0.0,0,False
163,0.008052018117496118,0.0,0,False
164,0.019699675768379166,0.0,0,False
165,0.002494062804544228,0.0,0,False
166,0.01596263666124287,0.0,0,False
167,0.016777535451410586,0.0,0,False
168,0.031192534384445025,0.0,0,False
169,0.0319665295573941,0.0,0,False
170,0.008865859055276815,0.0,0,False
171,0.001786007084092489,0.0,0,False
172,0.005352026756554551,0.0,0,False
173,0.007684590796316115,0.0,0,False
