episode,length,time,reward,delta
0,500.0,0.030267971585999476,-1491.0,-0.8840199834803809
1,274.0,0.018070230805733445,-273.0,99.99988703896052
2,351.0,0.021144349218047864,-350.0,89.99989833506447
3,257.0,0.015004575210696203,-454.0,80.99990850155802
4,236.0,0.01460929111567566,-433.0,72.8999176514022
5,231.0,0.01461740131571787,-131.0,65.60992588626199
6,105.0,0.006067840059813534,-104.0,59.04893329763579
7,323.0,0.019397482664317067,-520.0,53.14403996787221
8,70.0,0.0036115073160090105,30.0,47.82963597108499
9,115.0,0.007287543614211245,-15.0,43.04667237397649
10,111.0,0.009236812550398099,-110.0,38.74200513657884
11,131.0,0.0075269708227097,-31.0,34.86780462292096
12,47.0,0.0031492259167862358,53.0,31.38102416062887
13,98.0,0.00893990870736161,2.0,28.242921744565976
14,63.0,0.003494790959621241,37.0,25.418629570109374
15,241.0,0.016862163625091853,-438.0,22.87676661309844
16,28.0,0.0014647726411567419,72.0,20.589089951788594
17,86.0,0.00482838993139012,14.0,18.53018095660974
18,154.0,0.00885104912481438,-153.0,16.67716286094877
19,50.0,0.00267848170005891,50.0,15.009446574853897
20,107.0,0.006056556303292382,-7.0,13.508501917368505
21,56.0,0.0064190469809091155,44.0,12.157651725631652
22,84.0,0.00625366942472283,16.0,10.941886553068485
23,77.0,0.006951146623578097,23.0,9.847697897761634
24,47.0,0.0034979645161001827,53.0,8.862928107985468
25,53.0,0.004901734348550235,47.0,7.976635297186917
26,130.0,0.00745856304888548,-129.0,7.1789717674682265
27,69.0,0.0037416231330098526,-68.0,6.4610745907214095
28,12.0,0.0006819620336955268,88.0,5.814967131649269
29,59.0,0.003648884759286375,41.0,5.233470418484345
30,64.0,0.0039817555762056145,36.0,4.710123376635906
31,132.0,0.007069273449587854,-230.0,4.239111038972311
32,44.0,0.0025822171523941506,56.0,3.8151999350750856
33,36.0,0.002388982822139951,64.0,3.4336799415675756
34,100.0,0.008778057324889232,0.0,3.090311947410811
35,33.0,0.0020917263618684956,67.0,2.78128075266973
36,28.0,0.0014534888846355898,72.0,2.5031526774027526
37,62.0,0.0037409178983125457,38.0,2.252837409662476
38,55.0,0.004254681436577812,45.0,2.0275536686962283
39,21.0,0.0012274611369775812,79.0,1.824798301826604
