steps,time,reward,delta,converged
1,0.002793434969419195,0.0,0,False
2,0.001547285110575558,0.0,0,False
3,0.0023491370570809522,0.0,0,False
4,0.0018092798318889436,0.0,0,False
5,0.001611461475647502,0.0,0,False
6,0.000844518650808368,0.0,0,False
7,0.006006484633815035,0.0,0,False
8,0.0004383034167290134,0.0,0,False
9,0.006402121346241074,0.0,0,False
10,0.001534590884489262,0.0,0,False
11,0.0020885528053327107,0.0,0,False
12,0.0018565305621791595,0.0,0,False
13,0.0021128834052888124,0.0,0,False
14,0.002463737709092584,0.0,0,False
15,0.0006883091467102531,0.0,0,False
16,0.0004887277035550142,0.0,0,False
17,0.0023237486049652034,0.0,0,False
18,0.0014552519715493872,0.0,0,False
19,0.0013529929282753983,0.0,0,False
20,0.002987727151719355,0.0,0,False
21,0.0004189094602224941,0.0,0,False
22,0.0034217991597529362,0.0,0,False
23,0.0028170603346211465,0.0,0,False
24,0.0015032079367074402,0.0,0,False
25,0.0027761567172888135,0.0,0,False
26,0.0003568487994698444,0.0,0,False
27,0.0027698096042172438,0.0,0,False
28,0.0051245885396156154,0.0,0,False
29,0.0006717361293340218,0.0,0,False
30,0.0012080671806984355,0.0,0,False
31,0.0014732354584907625,0.0,0,False
32,0.002065632674941753,0.0,0,False
33,0.002186580439968111,0.0,0,False
34,0.000803615033476035,0.0,0,False
35,0.0018329051970340515,0.0,0,False
36,0.0017623817188905377,0.0,0,False
37,0.0010835932417307959,0.0,0,False
38,0.0005613668860746657,0.0,0,False
39,0.001480640423665136,0.0,0,False
40,0.002020850266319485,0.0,0,False
41,0.0012390975110747604,0.0,0,False
42,0.0016297975799943742,0.0,0,False
43,0.0003776532254846643,0.0,0,False
44,0.00025952639958859436,0.0,0,False
45,0.0026717819695818434,0.0,0,False
46,0.0009115159550674434,0.0,0,False
47,0.0007376755813766067,0.0,0,False
48,0.0009432515201979186,0.0,0,False
49,0.00047885441659900607,0.0,0,False
50,0.0013424144065083965,0.0,0,False
51,0.002862195360592068,0.0,0,False
52,0.0017130152841673407,0.0,0,False
53,0.003015583925559895,0.0,0,False
54,0.0005109425991349781,0.0,0,False
55,0.0005088268948156838,0.0,0,False
56,0.0022338311703151703,0.0,0,False
57,0.002467616500382519,0.0,0,False
58,0.0024027349004995813,0.0,0,False
59,0.0025018203872377853,0.0,0,False
60,0.0020970156227235748,0.0,0,False
61,0.0012539074414235074,0.0,0,False
62,0.0025293245437865153,0.0,0,False
63,0.0009397253463134803,0.0,0,False
64,0.0005800556077701913,0.0,0,False
65,0.0007027664597103467,0.0,0,False
