steps,time,reward,delta,converged
1,0.0005726506425389744,0.0,0.0002485048125127989,False
2,0.0014806404237219795,0.0,0.0006398679715760719,False
3,0.0018321999622799012,0.0,0.0006653070180888396,False
4,0.00032546585168802267,0.0,0.0006653070180888396,False
5,0.0018078693623237996,0.0,0.0007401188449085832,False
6,0.003757843533094274,0.0,0.0007401188449085832,False
7,0.0026569720392330964,0.0,0.0007401188449085832,False
8,0.00032617108644217296,0.0,0.0007401188449085832,False
9,0.001652365092979835,0.0,0.0007401188449085832,False
10,0.0014464365367530263,0.0,0.0007401188449085832,False
11,0.005098142235226533,0.0,0.0007401188449085832,False
12,0.007467378483624998,0.0,0.0007401188449085832,False
13,0.0011029871982373152,0.0,0.0007401188449085832,False
14,0.001362866215174563,0.0,0.0007401188449085832,False
15,0.0016347342234439566,0.0,0.0007401188449085832,False
16,0.002637578082726577,0.0,0.0007401188449085832,False
17,0.0020437703967104426,0.0,0.0007401188449085832,False
18,0.0009693452071246611,0.0,0.0007401188449085832,False
19,0.002111120318375015,0.0,0.0007401188449085832,False
20,0.001933401153394243,0.0,0.0007401188449085832,False
21,0.00046016569490348047,0.0,0.0007401188449085832,False
22,0.0030289833864003413,0.0,0.0007401188449085832,False
23,0.0006946562597818229,0.0,0.0007401188449085832,False
24,0.0014298635194336384,0.0,0.0007401188449085832,False
25,0.001497918675852361,0.0,0.0007401188449085832,False
26,0.0003110085386310857,0.0,0.0007401188449085832,False
27,0.00035931712113779213,0.0,0.0007401188449085832,False
28,0.0018103376840485907,0.0,0.0007401188449085832,False
29,0.0006992402858259084,0.0,0.0007401188449085832,False
30,0.0018515939187864205,0.0,0.0007401188449085832,False
31,0.0015920675191409828,0.0,0.0007401188449085832,False
32,0.002263803648531848,0.0,0.0007401188449085832,False
33,0.0009883865462256836,0.0,0.0007401188449085832,False
34,0.0007475488683326148,0.0,0.0007401188449085832,False
35,0.004799122687984436,0.0,0.0007401188449085832,False
36,0.0011110973982226824,0.0,0.0007401188449085832,False
37,0.002574459569757437,0.0,0.0007401188449085832,False
38,0.002332916657110218,0.0,0.0007401188449085832,False
39,0.0007947995986796741,0.0,0.0007401188449085832,False
40,0.00026128948655923523,0.0,0.0007401188449085832,False
41,0.0006907774684350443,0.0,0.0007401188449085832,False
42,0.001787417553657633,0.0,0.0007401188449085832,False
43,0.0008223037551715606,0.0,0.0007401188449085832,False
44,0.001216882615437953,0.0,0.0007401188449085832,False
45,0.0009488933984584946,0.0,0.0007401188449085832,False
46,0.0035667249072730556,0.0,0.0007401188449085832,False
47,0.0008205406682577632,0.0,0.0007401188449085832,False
48,0.0013678028586809887,0.0,0.0007401188449085832,False
49,0.0011654004763954617,0.0,0.0007401188449085832,False
50,0.0005257525295974119,0.0,0.0007401188449085832,False
51,0.0011830313459313402,0.0,0.0007401188449085832,False
52,0.0007323863205783709,0.0,0.0007401188449085832,False
53,0.0013159681022330005,0.0,0.0007401188449085832,False
54,0.0012577862327134426,0.0,0.0007401188449085832,False
55,0.0015719683279371566,0.0,0.0007401188449085832,False
56,0.0037458545418189715,0.0,0.0007401188449085832,False
57,0.0017461613189198033,0.0,0.0007401188449085832,False
58,0.0004594604601493302,0.0,0.0007401188449085832,False
59,0.001690095153776383,0.0,0.0007401188449085832,False
60,0.0005454991035094281,0.0,0.0007401188449085832,False
61,0.000900937433357285,0.0,0.0007401188449085832,False
62,0.0014623043193751073,0.0,0.0007401188449085832,False
63,0.00035226477331207207,0.0,0.0007401188449085832,False
64,0.0009749870853852372,0.0,0.0007401188449085832,False
65,0.00036284329507907387,0.0,0.0007401188449085832,False
66,0.0006555157293632874,0.0,0.0007401188449085832,False
67,0.0008173671117219783,0.0,0.0007401188449085832,False
68,0.0032666475078144686,0.0,0.0007401188449085832,False
69,0.0007285075292315923,0.0,0.0007401188449085832,False
70,0.0012782380414364525,0.0,0.0007401188449085832,False
71,0.0004030416776004131,0.0,0.0007401188449085832,False
72,0.0007796370508685868,0.0,0.0007401188449085832,False
73,0.0009612350071961373,0.0,0.0007401188449085832,False
74,0.0017920015797017186,0.0,0.0007401188449085832,False
75,0.0008321770421275687,0.0,0.0007401188449085832,False
76,0.001417874528158336,0.0,0.0007401188449085832,False
77,0.0010592626417746942,0.0,0.0007401188449085832,False
78,0.0006505790859137051,0.0,0.0007401188449085832,False
79,0.0005412676948139961,0.0,0.0007401188449085832,False
80,0.0004277248949620116,0.0,0.0007401188449085832,False
81,0.0003804741646149523,0.0,0.0007401188449085832,False
82,0.0016171033539080781,0.0,0.0007401188449085832,False
83,0.0008734332768653985,0.0,0.0007401188449085832,False
