params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.7718995675147795,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",1.6941573061441915,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",1.6996542586483798,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",1.1055390902824058,100,5.524861878453039e-05,0.0,0.0,0.0055248618784530384,0.0005497168160810054
"{""discount_factor"": 0.4}",1.2538252816090676,100,0.00039101991161428074,0.0,0.0,0.025,0.0026632061517607797
"{""discount_factor"": 0.5}",1.323825475548631,100,0.0024132807835058143,0.0,0.0,0.03225806451612903,0.006064920044034911
"{""discount_factor"": 0.6}",1.4114082304425182,100,0.007428661289030472,0.0,0.0,0.03571428571428571,0.009348071973525138
"{""discount_factor"": 0.7}",1.1837707845913172,100,0.013235854672293821,0.014285714285714285,0.0,0.037037037037037035,0.011711571492717773
"{""discount_factor"": 0.8}",1.0431272225914938,100,0.011377651846186469,0.010869565217391304,0.0,0.03571428571428571,0.009437901938516199
"{""discount_factor"": 0.9}",1.1361318224853534,100,0.01266796185957317,0.012121657361151925,0.0,0.05555555555555555,0.011405561185856665
